# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Jun  5 15:30:26 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_hostname like '%Kepler%',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_masse > 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_rade > 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denslim:     Planet Density Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_ttvflag:     TTV Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_kepflag:     Kepler Field Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_k2flag:      K2 Mission Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teffblend:   Effective Temperature Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN rowupdate:      Date of Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_def_reflink: Default Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_def_reflink
1410,Kepler-138,b,Transit,3,10.3126,0.0004,-0.0006,0,2.6,2.4,-1.5,0,1,1,0,3841,49,-49,0,0,0.52,0.06,-0.06,0,0,0.44,0.02,-0.02,0,0,6/17/15,0.066,0.059,-0.037,0,0.522,0.032,-0.032,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Natur.522..321J target=ref>Jontof-Hutter et al. 2015</a>
1318,Kepler-131,c,Transit,2,25.5169,,,0,77.7,55,-55,0,0,1,0,5685,74,-74,0,0,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0,5/14/14,8.25,5.9,-5.9,0,0.84,0.07,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2432,Kepler-406,c,Transit,2,4.62332,,,0,24.39,16.13,-16.13,0,0,1,0,5538,75,-75,0,0,1.07,0.06,-0.06,0,0,1.07,0.02,-0.02,0,0,5/14/14,2.71,1.8,-1.8,0,0.85,0.03,-0.03,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2928,Kepler-78,b,Transit,1,0.355,0.0004,-0.0004,0,5.57,3.02,-1.31,0,0,1,0,5058,50,-50,0,0,0.76,0.05,-0.05,0,0,0.74,0.03,-0.04,0,0,5/14/14,1.86,0.38,-0.25,0,1.173,0.159,-0.089,0,<a href=http://adsabs.harvard.edu/abs/2013Natur.503..377P target=ref> Pepe et al. 2013 </a>
936,Kepler-102,d,Transit,5,10.3117,,,0,13.27,6.46,-6.46,0,0,1,0,4909,41,-41,0,0,0.81,0.04,-0.09,0,0,0.76,0.07,-0.07,0,0,5/14/14,3.8,1.8,-1.8,0,1.18,0.04,-0.04,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
1411,Kepler-138,c,Transit,3,13.7813,0.0001,-0.0001,0,6.2,5.8,-3.4,0,1,1,0,3841,49,-49,0,0,0.52,0.06,-0.06,0,0,0.44,0.02,-0.02,0,0,6/17/15,1.97,1.912,-1.12,0,1.197,0.07,-0.07,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Natur.522..321J target=ref>Jontof-Hutter et al. 2015</a>
1412,Kepler-138,d,Transit,3,23.0881,0.0009,-0.0008,0,2.1,2.2,-1.2,0,1,1,0,3841,49,-49,0,0,0.52,0.06,-0.06,0,0,0.44,0.02,-0.02,0,0,6/17/15,0.64,0.674,-0.387,0,1.212,0.075,-0.075,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Natur.522..321J target=ref>Jontof-Hutter et al. 2015</a>
976,Kepler-105,c,Transit,2,7.1262,0.0002,-0.0002,0,11.2,3,-2.56,0,0,1,0,5827,94,-94,0,0,0.96,0.05,-0.05,0,0,0.89,0.04,-0.04,0,0,4/7/16,4.6,0.92,-0.85,0,1.31,0.07,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>
908,Kepler-100,b,Transit,3,6.88705,,,0,14.25,6.33,-6.33,0,0,1,0,5825,75,-75,0,0,1.08,0.06,-0.06,0,0,1.49,0.04,-0.04,0,0,5/14/14,7.34,3.2,-3.2,0,1.32,0.04,-0.04,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2431,Kepler-406,b,Transit,2,2.42629,,,0,11.82,2.7,-2.7,0,0,1,0,5538,75,-75,0,0,1.07,0.06,-0.06,0,0,1.07,0.02,-0.02,0,0,5/14/14,6.35,1.4,-1.4,0,1.43,0.03,-0.03,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
3122,Kepler-93,b,Transit,2,4.72673978,0.00000097,-0.00000097,0,6.88,1.18,-1.18,0,0,1,0,5669,75,-75,0,0,0.91,0.03,-0.03,0,0,0.92,0.01,-0.01,0,0,4/16/15,4.02,0.68,-0.68,0,1.478,0.019,-0.019,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...800..135D target=ref>Dressing et al. 2015</a>
3173,Kepler-97,b,Transit,2,2.58664,,,0,5.44,3.48,-3.48,0,0,1,0,5779,74,-74,0,0,0.94,0.06,-0.06,0,0,0.98,0.09,-0.09,0,0,5/14/14,3.51,1.9,-1.9,0,1.48,0.13,-0.13,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
3196,Kepler-99,b,Transit,1,4.60358,,,0,10.9,2.82,-2.82,0,0,1,0,4782,129,-129,0,0,0.79,0.06,-0.06,0,0,0.73,0.04,-0.04,0,0,5/14/14,6.15,1.3,-1.3,0,1.48,0.08,-0.08,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
906,Kepler-10,b,Transit,2,0.837491,0.000002,-0.000002,0,8,3,-3,0,0,1,0,5627,44,-44,0,0,0.91,0.02,-0.02,0,0,1.06,0.01,-0.01,0,0,10/15/15,4.60853,1.27132,-1.46202,0,1.481,0.049,-0.029,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
2320,Kepler-36,b,Transit,2,13.83989,0.00082,-0.0006,0,7.46,0.74,-0.59,0,1,1,0,5911,66,-66,0,0,1.07,0.04,-0.04,0,0,1.63,0.02,-0.02,0,0,5/14/14,4.45,0.33,-0.27,0,1.486,0.035,-0.035,0,<a href=http://adsabs.harvard.edu/abs/2012Sci...337..556C target=ref> Carter et al. 2012 </a>
2956,Kepler-80,d,Transit,5,3.07222,0.00006,-0.00004,0,7.04,1.06,-1.06,0,1,1,0,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,8/4/16,6.75,0.69,-0.51,0,1.53,0.09,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2016arXiv160707540M target=ref>MacDonald et al. 2016</a>
2957,Kepler-80,e,Transit,5,4.64489,0.0002,-0.00019,0,3.75,0.89,-0.97,0,1,1,0,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,8/4/16,4.13,0.81,-0.95,0,1.6,0.08,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2016arXiv160707540M target=ref>MacDonald et al. 2016</a>
1893,Kepler-21,b,Transit,1,2.78578,0.00003,-0.00003,0,6.4,2.1,-2.1,0,0,1,0,6305,50,-50,0,0,1.41,0.02,-0.03,0,0,1.9,0.02,-0.01,0,0,10/6/16,5.08,1.72,-1.72,0,1.639,0.019,-0.015,0,<a href=http://adsabs.harvard.edu/abs/2016arXiv160907617L target=ref>Lopez-Morales et al. 2016</a>
2703,Kepler-60,b,Transit,3,7.1334,0.0001,-0.0001,0,4.62,1.4,-1.1,0,1,1,0,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,4/7/16,4.19,0.56,-0.52,0,1.71,0.13,-0.13,0,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>
1044,Kepler-11,b,Transit,6,10.3039,0.0006,-0.001,0,1.72,1.25,-0.91,0,1,1,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,5/14/14,1.9,1.4,-1,0,1.8,0.03,-0.05,0,<a href=http://adsabs.harvard.edu/abs/2013ApJ...770..131L target=ref> Lissauer et al. 2013 </a>
1087,Kepler-113,b,Transit,2,4.754,,,0,10.73,3.9,-3.9,0,0,1,0,4725,74,-74,0,0,0.75,0.06,-0.06,0,0,0.69,0.02,-0.02,0,0,5/14/14,11.7,4.2,-4.2,0,1.82,0.05,-0.05,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
1862,Kepler-20,b,Transit,6,3.69611525,0.00000115,-0.00000087,0,8.2,1.5,-1.3,0,0,1,0,5495,50,-50,0,0,0.95,0.05,-0.05,0,0,0.96,0.02,-0.02,0,0,3/30/17,9.7,1.41,-1.44,0,1.868,0.066,-0.034,0,<a href=http://adsabs.harvard.edu/abs/2016AJ....152..160B target=ref>Buchhave et al. 2017</a>
2536,Kepler-48,b,Transit,4,4.778,,,0,3.23,1.84,-1.84,0,1,1,0,5194,73,-73,0,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,10/27/16,3.94,2.1,-2.1,0,1.88,0.1,-0.1,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2704,Kepler-60,c,Transit,3,8.9187,0.0002,-0.0002,0,3.06,1.14,-0.86,0,1,1,0,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,4/7/16,3.85,0.81,-0.81,0,1.9,0.15,-0.15,0,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>
2705,Kepler-60,d,Transit,3,11.8981,0.0002,-0.0002,0,2.91,1.03,-0.78,0,1,1,0,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,4/7/16,4.16,0.84,-0.75,0,1.99,0.16,-0.16,0,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>
3185,Kepler-98,b,Transit,1,1.54168,,,0,2.18,1.21,-1.21,0,0,1,0,5539,73,-73,0,0,0.99,0.06,-0.06,0,0,1.11,0.12,-0.12,0,0,5/14/14,3.55,1.6,-1.6,0,1.99,0.22,-0.22,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
1806,Kepler-18,b,Transit,3,3.504725,0.000028,-0.000028,0,4.9,2.4,-2.4,0,1,1,0,5345,100,-100,0,0,0.97,0.04,-0.04,0,0,1.11,0.05,-0.05,0,0,5/14/14,6.9,3.4,-3.4,0,2,0.1,-0.1,0,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197....7C target=ref> Cochran et al. 2011 </a>
2538,Kepler-48,d,Transit,4,42.8961,,,0,5.08,3.12,-3.12,0,0,1,0,5194,73,-73,0,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,5/14/14,7.93,4.6,-4.6,0,2.04,0.11,-0.11,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2120,Kepler-289,b,Transit,3,34.545,0.0005,-0.0005,0,4.1,3.9,-3.9,0,1,1,0,5990,38,-38,0,0,1.08,0.02,-0.02,0,0,1,0.02,-0.02,0,0,11/19/14,7.3,6.8,-6.8,0,2.15,0.1,-0.1,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795..167S target=ref>Schmitt et al. 2014</a>
2179,Kepler-307,c,Transit,2,13.0729,0.0012,-0.0012,0,1.74,0.3,-0.3,0,1,1,0,5367,94,-94,0,0,0.91,0.03,-0.03,0,0,0.81,0.02,-0.02,0,0,4/7/16,3.64,0.65,-0.58,0,2.2,0.07,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>
937,Kepler-102,e,Transit,5,16.1457,,,0,4.68,1.12,-1.12,0,0,1,0,4909,41,-41,0,0,0.81,0.04,-0.09,0,0,0.76,0.07,-0.07,0,0,5/14/14,8.93,2,-2,0,2.22,0.07,-0.07,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
2806,Kepler-68,b,Transit,3,5.39875,,,0,2.6,0.74,-0.74,0,0,1,0,5793,74,-74,0,0,1.08,0.05,-0.05,0,0,1.24,0.02,-0.02,0,0,10/27/16,5.97,1.7,-1.7,0,2.33,0.02,-0.02,0,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>
