tic id,mh,rstar,rstar_upper,rstar_lower,rhostar,rhostar_upper,rhostar_lower,rhocirc,rhocirc_upper,rhocirc_lower,depth,depth_upper,depth_lower,rp,rp_upper,rp_lower,b,b_upper,b_lower,period,period_upper,period_lower,t0,t0_upper,t0_lower,e,e_upper,e_lower,TTV,TSM
394137592,-0.02,2.292,0.093,0.093,0.083,0.007,0.007,0.114,0.009,0.022,2.025,0.076,0.057,11.274,0.497,0.497,0.234,0.2,0.16,11.537,0.001,0.001,1320.543,0.002,0.002,0.11,0.19,0.11,2.1,43
29857954,nan,1.666,0.066,0.066,0.222,0.032,0.032,0.574,0.096,0.19,4.22,0.251,0.242,11.798,0.596,0.573,0.307,0.257,0.213,9.476,0.001,0.001,1317.444,0.002,0.002,0.35,0.19,0.23,0.5,12
166739520,-0.36,1.219,0.043,0.043,0.563,0.087,0.087,0.301,0.066,0.068,7.677,0.362,0.339,11.656,0.481,0.472,0.41,0.148,0.241,10.021,0,0,1347.549,0.001,0.001,0.25,0.26,0.12,0.9,38
183532609,0.24,0.957,0.047,0.047,1.046,0.129,0.129,0.466,0.085,0.055,13.215,0.596,0.709,11.973,0.653,0.651,0.606,0.052,0.083,8.159,0,0,1350.762,0,0,0.29,0.26,0.13,0.5,81
410214986,nan,0.913,0.055,0.055,1.197,1.541,1.541,1.576,0.163,0.342,3.591,0.723,0.658,5.959,0.679,0.659,0.261,0.209,0.183,7.872,0.001,0.001,1332.576,0.001,0.001,0.11,0.21,0.1,-,64
350618622,0.18,1.229,0.043,0.043,0.573,0.107,0.107,3.078,0.833,1.056,5.39,0.429,0.279,9.879,0.49,0.445,0.419,0.204,0.263,52.978,0,0,1323.075,0.001,0.001,0.55,0.17,0.14,1.1,29
55652896,0.316,0.759,0.044,0.044,1.793,0.22,0.22,1.178,0.562,0.279,9.99,24.072,4.694,8.311,6.917,2.275,0.987,0.109,0.055,17.072,0.001,0.001,1308.338,0.017,0.017,0.11,0.28,0.1,27.1,15
55652896,0.316,0.759,0.044,0.044,1.793,0.22,0.22,1.714,0.057,0.096,15.261,0.281,0.249,10.232,0.59,0.608,0.136,0.108,0.092,34.554,0.001,0.001,1296.714,0.006,0.006,0.052,0.21,0.052,24.5,15
200723869,nan,1.719,0.048,0.048,0.248,0.035,0.035,0.38,0.093,0.158,1.284,0.086,0.061,6.736,0.289,0.258,0.389,0.251,0.264,18.387,0.001,0.001,1367.377,0.003,0.003,0.18,0.2,0.16,0.8,30
339672028,nan,1.605,0.066,0.066,0.243,0.033,0.033,0.35,0.056,0.091,3.878,0.161,0.088,10.931,0.481,0.468,0.33,0.199,0.22,10.331,0,0,1377.336,0.001,0.001,0.11,0.22,0.11,3.3,24
130415266,nan,1.694,0.016,0.016,0.348,0.009,0.009,1.018,0.08,0.117,7.179,0.146,0.101,15.673,0.202,0.188,0.25,0.126,0.159,39.471,0,0,1481.793,0,0,0.36,0.14,0.071,-,87
53189332,nan,1.293,0.05,0.05,0.494,0.077,0.077,0.393,0.05,0.094,5.48,0.219,0.22,10.437,0.458,0.447,0.277,0.216,0.189,9.293,0.001,0.001,1535.348,0.001,0.001,0.11,0.27,0.098,0.4,15
280206394,nan,1.193,0.051,0.051,0.602,0.093,0.093,2.241,2.156,0.708,7.81,0.444,0.833,11.416,0.651,0.696,0.705,0.084,0.28,11.237,0,0,1536.233,0.001,0.001,0.6,0.12,0.25,0.9,46
286864983,nan,0.766,0.042,0.042,1.746,0.187,0.187,1.634,0.371,0.628,5.957,0.398,0.355,6.443,0.411,0.396,0.367,0.258,0.249,11.022,0.003,0.003,1575.939,0.002,0.002,0.066,0.28,0.066,-,17
334305570,0.115,1.474,0.056,0.056,0.341,0.062,0.062,0.871,0.239,0.397,2.144,0.141,0.116,7.454,0.367,0.346,0.4,0.269,0.269,16.603,0.003,0.003,1575.78,0.002,0.002,0.34,0.16,0.28,-,13
306472057,nan,1.279,0.048,0.048,0.505,0.102,0.102,0.445,0.097,0.148,4.461,0.227,0.202,9.324,0.417,0.411,0.388,0.215,0.265,139.309,0.003,0.003,1427.624,0.002,0.002,0.077,0.27,0.077,-,4
363914762,nan,1.438,0.048,0.048,0.403,0.056,0.056,0.372,0.016,0.039,6.683,0.112,0.109,12.816,0.444,0.445,0.165,0.15,0.113,13.866,0,0,1431.463,0.001,0.001,0.067,0.23,0.067,1.9,15
158978373,nan,1.194,0.045,0.045,0.606,0.091,0.091,1.12,0.666,0.787,1.993,0.506,0.246,5.837,0.711,0.451,0.529,0.306,0.357,13.54,0.005,0.005,1609.005,0.003,0.003,0.32,0.19,0.27,-,10
243200602,nan,0.975,0.045,0.045,0.983,0.118,0.118,1.347,0.412,0.497,8.556,0.665,0.533,9.866,0.551,0.536,0.447,0.212,0.286,11.554,0.001,0.001,1607.581,0.001,0.001,0.12,0.24,0.11,-,26
123846039,nan,0.967,0.043,0.043,1.011,0.117,0.117,0.944,0.401,0.545,3.863,0.483,0.276,6.583,0.453,0.387,0.486,0.279,0.326,10.051,0.002,0.002,1476.531,0.001,0.001,0.091,0.31,0.086,-,28
177162886,0.222,1.051,0.049,0.049,0.834,1.541,1.541,2.265,1.237,0.961,7.264,0.935,0.615,9.823,0.695,0.624,0.563,0.194,0.303,12.846,0,0,1313.638,0.001,0.001,0.45,0.18,0.2,2.7,12
260130483,-0.95,1.644,0.07,0.07,0.21,0.038,0.038,0.313,0.173,0.067,4.21,0.22,0.237,11.603,0.596,0.652,0.817,0.033,0.089,88.932,0.001,0.001,1256.009,0.002,0.002,0.13,0.36,0.1,0.3,4
408137826,nan,1.07,0.047,0.047,0.755,0.107,0.107,0.698,0.276,0.394,2.997,0.34,0.271,6.393,0.455,0.412,0.441,0.299,0.303,8.511,0.001,0.001,1431.971,0.001,0.001,0.084,0.32,0.082,0.2,10
399871011,nan,1.284,0.05,0.05,0.496,0.099,0.099,0.362,0.078,0.144,6.49,0.365,0.351,11.283,0.551,0.533,0.375,0.264,0.26,12.36,0.002,0.002,1444.268,0.002,0.002,0.12,0.31,0.1,-,16
25799609,-0.016,1.015,0.041,0.041,0.879,0.113,0.113,0.341,0.617,0.131,5.802,0.403,0.528,8.409,0.466,0.494,0.761,0.073,0.392,11.114,0.003,0.003,1501.309,0.002,0.002,0.094,0.38,0.075,-,18
73038411,nan,1.434,0.054,0.054,0.392,0.06,0.06,0.847,0.18,0.232,5.801,0.833,0.785,11.91,0.937,0.945,0.289,0.227,0.2,15.854,1.437,1.437,1502.778,0.002,0.002,0.3,0.21,0.21,-,17
254113311,nan,0.695,0.036,0.036,2.195,0.265,0.265,1.92,0.478,0.25,35.686,76.608,16.61,14.292,11.245,3.81,0.986,0.182,0.091,8.351,0,0,1649.547,0.001,0.001,0.073,0.22,0.073,1.1,100
409794137,nan,0.988,0.044,0.044,0.974,0.126,0.126,1.116,0.2,0.333,8.944,0.502,0.358,10.213,0.525,0.509,0.339,0.218,0.225,10.181,0,0,1485.738,0.001,0.001,0.085,0.23,0.085,1,33
308098254,nan,1.113,0.048,0.048,0.701,0.09,0.09,0.619,0.26,0.269,8.517,0.903,0.613,11.249,0.71,0.648,0.494,0.214,0.318,9.627,0,0,1538.718,0,0,0.087,0.28,0.083,0.1,15
190271688,nan,1.062,0.054,0.054,0.776,0.107,0.107,0.814,0.097,0.073,21.059,0.777,1.058,16.751,0.922,0.912,0.659,0.036,0.051,12.636,0.001,0.001,1607.245,0,0,0.055,0.22,0.055,-,57
371188886,nan,1.074,0.053,0.053,0.769,0.104,0.104,1.221,0.298,0.544,3.73,0.258,0.2,7.16,0.433,0.405,0.389,0.273,0.261,9.127,0.001,0.001,1535.058,0.003,0.003,0.19,0.2,0.17,2.3,16
147660886,nan,2.103,0.077,0.077,0.161,0.021,0.021,1.394,0.314,0.559,2.498,0.164,0.149,11.461,0.578,0.546,0.366,0.257,0.25,17.306,0.002,0.002,1549.835,0.002,0.002,0.65,0.14,0.15,-,13
394287035,nan,0.829,0.042,0.042,1.429,0.167,0.167,2.693,0.508,0.937,9.13,0.598,0.538,8.639,0.519,0.504,0.327,0.254,0.219,17.102,0,0,1313.386,0,0,0.24,0.18,0.22,0.1,14
24358417,nan,1.028,0.047,0.047,0.881,0.125,0.125,3.631,0.592,1.02,10.028,0.508,0.547,11.218,0.6,0.595,0.278,0.23,0.191,22.652,0.003,0.003,1481.407,0.002,0.002,0.48,0.2,0.15,-,11
279514271,0.057,2.166,0.096,0.096,0.086,0.015,0.015,0.085,0.05,0.059,2.032,0.526,0.239,10.72,1.334,0.862,0.528,0.297,0.355,9.774,0,0,1351.802,0.008,0.008,0.13,0.29,0.11,1.2,1
204671232,nan,0.984,0.045,0.045,0.971,0.125,0.125,1.001,0.134,0.23,10.749,0.52,0.539,11.114,0.572,0.565,0.259,0.212,0.177,8.716,0.003,0.003,1569.062,0.007,0.007,0.062,0.24,0.062,2.3,15
238542895,nan,0.896,0.03,0.03,1.204,0.137,0.137,0.73,0.076,0.136,10.233,0.431,0.432,9.872,0.398,0.391,0.229,0.203,0.157,8.385,0,0,1485.88,0.001,0.001,0.21,0.27,0.094,1.6,18
282498590,nan,1.051,0.145,0.145,0.778,0.279,0.279,0.556,0.101,0.172,10.78,0.656,0.543,11.896,1.674,1.603,0.343,0.231,0.232,10.095,0.002,0.002,1474.825,0.001,0.001,0.16,0.27,0.14,-,22
290403522,nan,1.384,0.052,0.052,0.435,0.067,0.067,0.059,0.01,0.007,6.596,0.231,0.246,12.247,0.512,0.499,0.538,0.057,0.092,22.375,0,0,1324.188,0.003,0.003,0.61,0.16,0.076,1.5,18
380836882,nan,1.197,0.053,0.053,0.574,0.087,0.087,0.392,0.052,0.102,6.541,0.367,0.302,10.573,0.553,0.534,0.282,0.219,0.195,8.012,0,0,1652.826,0.001,0.001,0.17,0.28,0.11,0.3,18
382200986,nan,0.68,0.036,0.036,2.182,0.232,0.232,2.002,0.251,0.449,8.81,0.417,0.346,6.975,0.399,0.394,0.279,0.202,0.191,92.498,0.005,0.005,1243.912,0.01,0.01,0.06,0.25,0.06,3.7,5
357202877,nan,1.116,0.044,0.044,0.645,0.084,0.084,1.143,0.693,0.549,14.388,3.44,2.518,14.643,1.728,1.468,0.57,0.223,0.372,9.555,0.001,0.001,1534.787,0.003,0.003,0.1,0.33,0.084,1,20
254142310,nan,1.633,0.074,0.074,0.231,0.045,0.045,0.264,0.08,0.123,2.986,0.322,0.252,9.743,0.675,0.616,0.414,0.267,0.279,9.311,0.002,0.002,1652.052,0.004,0.004,0.11,0.27,0.099,0.6,8
395113305,nan,0.886,0.043,0.043,1.272,0.162,0.162,0.284,0.15,0.159,7.345,1.252,0.917,8.294,0.787,0.667,0.506,0.259,0.338,9.963,0.008,0.008,1607.42,0.006,0.006,0.48,0.27,0.1,-,11
180989820,nan,1.256,0.058,0.058,0.544,0.088,0.088,0.084,0.017,0.026,4.508,0.338,0.236,9.223,0.524,0.484,0.356,0.216,0.243,9.873,0.001,0.001,1511.287,0.004,0.004,0.63,0.14,0.1,1.4,12
4598935,nan,1.042,0.04,0.04,0.801,0.108,0.108,0.46,0.159,0.231,3.515,0.475,0.367,6.744,0.525,0.455,0.438,0.271,0.299,24.663,0.007,0.007,1539.451,0.006,0.006,0.19,0.35,0.12,-,5
464300749,nan,1.678,0.056,0.056,0.27,0.044,0.044,4.896,1.439,2.229,4.007,0.334,0.316,11.589,0.62,0.601,0.385,0.281,0.265,18.098,0.003,0.003,1529.321,0.006,0.006,0.78,0.098,0.13,1.1,11
7536985,nan,1.908,0.086,0.086,0.163,0.036,0.036,0.315,0.091,0.133,7.271,0.557,0.503,17.745,1.074,1.015,0.397,0.253,0.268,12.732,0.005,0.005,1502.907,0.004,0.004,0.25,0.19,0.22,-,8
76228620,nan,1.194,0.051,0.051,0.571,0.09,0.09,0.343,0.227,0.217,4.492,1.118,0.626,8.768,1.045,0.768,0.567,0.254,0.381,9.779,0.002,0.002,1645.4,0.004,0.004,0.078,0.37,0.075,0.5,11
87422071,nan,1.342,0.055,0.055,0.413,0.073,0.073,0.794,0.358,0.447,3.622,0.524,0.433,8.803,0.753,0.66,0.444,0.295,0.304,11.366,0.004,0.004,1646.564,0.008,0.008,0.29,0.19,0.24,0.7,8
253126207,nan,1.249,0.046,0.046,0.506,0.085,0.085,1.547,0.208,0.325,11.792,0.551,0.588,14.784,0.648,0.646,0.255,0.207,0.174,17.434,0.002,0.002,1604.089,0.001,0.001,0.39,0.22,0.12,-,22
342167886,nan,1.437,0.095,0.095,0.348,0.08,0.08,0.983,0.153,0.318,7.701,0.314,0.353,13.731,0.963,0.967,0.313,0.248,0.218,17.308,0.001,0.001,1510.187,0.003,0.003,0.36,0.22,0.19,1.5,11
343936388,nan,0.855,0.033,0.033,1.35,0.155,0.155,0.303,0.228,0.184,4.702,0.584,0.489,6.397,0.454,0.409,0.583,0.227,0.389,15.144,0.009,0.009,1469.04,0.019,0.019,0.48,0.26,0.15,1.9,6
394492336,nan,0.934,0.044,0.044,1.063,0.113,0.113,3.489,1.14,1.47,11.543,1.345,0.961,10.975,0.776,0.699,0.436,0.243,0.286,9.131,0,0,1597.926,0.002,0.002,0.43,0.19,0.24,1.4,22
150299840,-0.46,1.839,0.061,0.061,0.22,0.031,0.031,0.443,0.046,0.096,5.362,0.422,0.369,14.685,0.74,0.699,0.259,0.202,0.175,19.473,0.001,0.001,1308.841,0.005,0.005,0.27,0.24,0.14,3.7,13